id,name,link,ingredients,allergensraw,allergensmapped
68,Jaffa Cakes,https://world.openfoodfacts.org/product/20005573,"sugar, glucose-fructose syrup, 15% orange juice from concentratetd orange juice, wheat flour, cocoa mass, 6% liquid whole egg, palm oil, cocoa butter, stabilisier: sorbitols, gelling agent: pectins, acid: citric acid, raising agents: sodium carbonates, diphosphates, whey powder (milk), emulsifiers: lecithins, mono - and diglycerides of fatty acids, natural orange flavouring, natural vanilla flavouring with other natural flavourings, salt, wheat starch,","Eggs, Gluten, Milk, Soybeans","egg, milk, soy, wheat"
69,Le Beurre Tendre Doux,https://world.openfoodfacts.org/product/3451790988677,"cream (origin france), milk fat , lactic ferments,",Milk,milk
70,SWEET & SALTY POPCORN,https://world.openfoodfacts.org/product/5060283760669,"Wholegrain corn (63%), rapeseed oil, demerara sugar, glazing agent (isomalt), sea salt.",,
71,Creamy Peanut Butter,https://world.openfoodfacts.org/product/0051500720011,"roasted peanuts, sugar, molasses, fully hydrogenated vegetable oils (rapeseed and soybean), mono and diglycerides, salt","Peanuts, Soybeans","peanut, soy"
72,Dark Chocolate,https://world.openfoodfacts.org/product/20005832,"sugar, cocoa mass, cocoa butter, emulsifier (sunflower lecithins), vanilla extract",Soybeans,"milk, soy"
73,Baked Beans,https://world.openfoodfacts.org/product/5000232902450,"Beans (51%), Tomatoes (38%), Water, Sugar, Modified Maize Starch, Reduced Sodium Sea Salt, Spirit Vinegar, Salt, Paprika, White Pepper, Spices, Flavourings.",,
74,Vitalite Dairy Free Spread,https://world.openfoodfacts.org/product/5000373704289,"vegetable oils (sunflower (21%), rapeseed, palm), water, salt, emulsifiers (e471), sunflower lecithin, preservative (potassium sorbate), acid (lactic acid), vitamins (niacin, b6, b2, folic acid, b12), flavourings, colours (annatto, curcumin)",,
75,4 Fruity Teacakes,https://world.openfoodfacts.org/product/5010044001012,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], Water, Dried Fruit Blend in varying proportions (13%) (Currants, Sultanas, Raisins), Sugar, Yeast, Vegetable Oil (Rapeseed, Sustainable Palm, Sunflower), Salt, Gelling Agent: E466, Emulsifiers: E471, E481, E472e, Soya Flour, Preservative: Calcium Propionate, Flour Treatment Agents: Ascorbic Acid (Vitamin C), E920 (Vegetarian)","Gluten, Soybeans","soy, wheat"
76,Original Taste,https://world.openfoodfacts.org/product/5449000054227,"Water, fructose - glucose syrup, carbon dioxide, colorant: e150d, acid: phosphoric acid, natural flavorings (including caffeine).",,
77,Peanut Butter,https://world.openfoodfacts.org/product/0051500255162,"MADE FROM ROASTED PEANUTS AND SUGAR, CONTAINS 2% OR LESS OF: MOLASSES, FULLY HYDROGENATED VEGETABLE OILS (RAPESEED AND SOYBEAN), MONO AND DIGLYCERIDES, SALT.","Peanuts, Soybeans","peanut, soy"
78,Keto cookies,https://world.openfoodfacts.org/product/0787692523030,"grain free flour blend (lupin flour, almond flour), pea protein, almond butter (roasted almonds), organic erythritol, coconut oil, palm fruit oil, chicory root fiber, desiccated coconut, sunflower lecithin, vegetable glycerine, natural flavor, xanthan gum, baking soda, gum acacia, stevoside (stevia extract), mixed tocopherols, allergens: contains lupin, almond and coconut,","Lupin, Nuts","milk, tree nut, wheat"
79,"Love, Corn (Sea Salt)",https://world.openfoodfacts.org/product/5060490400242,"Corn, sunflower oil, sea salt",,
80,wholemeal sourdough bread,https://world.openfoodfacts.org/product/00363167,"wholemeal british wheat flour, water, rapseed oil, sea salt, wheat gluten, extra virgin olive oil 1%, soya flour, fermented wheat flour, fortified wheat flour (wheat flour, calcium carbonate, iron, niacin, thiamin), wheat flour, flour treatment agent:ascorbic acid.","Gluten, Soybeans","soy, wheat"
81,Honey Nut Cheerios,https://world.openfoodfacts.org/product/0016000124790,"Whole Grain Oats, Sugar, Corn Starch, Honey, Brown Sugar Syrup, Salt, Tripotassium Phosphate, Canola Oil, Natural Almond Flavor, Vitamin E, Calcium Carbonate, Vitamin C, sodium ascorbate, Iron, Zinc, mineral nutrients, niacinamide, Vitamin B6, pyridoxine hydrochloride, Vitamin B1, thiamin mononitrate, Vitamin A, palmitate, Vitamin B2, riboflavin, folic acid, Vitamin B13, Vitamin D3",Nuts,tree nut
82,Pains au lait x10,https://world.openfoodfacts.org/product/3256540000698,"wheat flour 43%, sourdough 21%, wheat flour 11%, water, salt, fresh eggs 11%, sugar, pastry butter, rapeseed oil, yeast, skimmed milk powder equivalent to 10% reconstituted skimmed milk, emulsifier: mono and diglycerides of fatty acids, salt, wheat protein, wheat gluten, carrot extract, flavourings, antioxidant: ascorbic acid, milk protein","Eggs, Gluten, Milk","egg, milk, wheat"
